sep=,
"Time","P","Q"
2020-01-31 07:20:00,796,771
2020-01-31 07:25:00,766,767
2020-01-31 07:30:00,716,772
2020-01-31 07:35:00,695,765
2020-01-31 07:40:00,692,761
2020-01-31 07:45:00,634,766
2020-01-31 07:50:00,532,788
2020-01-31 07:55:00,601,760
2020-01-31 08:00:00,489,772
2020-01-31 08:05:00,533,763
2020-01-31 08:10:00,501,766
2020-01-31 08:15:00,475,764
2020-01-31 08:20:00,465,768
2020-01-31 08:25:00,598,778
2020-01-31 08:30:00,563,757
2020-01-31 08:35:00,372,766
2020-01-31 08:40:00,572,762
2020-01-31 08:45:00,471,758
2020-01-31 08:50:00,435,751
2020-01-31 08:55:00,440,759
2020-01-31 09:00:00,587,758
2020-01-31 09:05:00,425,773
2020-01-31 09:10:00,473,754
2020-01-31 09:15:00,452,757
2020-01-31 09:20:00,548,757
2020-01-31 09:25:00,502,756
2020-01-31 09:30:00,427,775
2020-01-31 09:35:00,454,750
2020-01-31 09:40:00,494,769
2020-01-31 09:45:00,429,777
2020-01-31 09:50:00,427,761
2020-01-31 09:55:00,323,767
2020-01-31 10:00:00,178,774
2020-01-31 10:05:00,236,773
2020-01-31 10:10:00,319,741
2020-01-31 10:15:00,356,762
2020-01-31 10:20:00,299,772
2020-01-31 10:25:00,317,759
2020-01-31 10:30:00,144,762
2020-01-31 10:35:00,148,751
2020-01-31 10:40:00,192,761
2020-01-31 10:45:00,249,742
2020-01-31 10:50:00,247,745
2020-01-31 10:55:00,219,751
2020-01-31 11:00:00,265,758
2020-01-31 11:05:00,282,739
2020-01-31 11:10:00,218,751
2020-01-31 11:15:00,135,754
2020-01-31 11:20:00,220,747
2020-01-31 11:25:00,176,744
2020-01-31 11:30:00,252,738
2020-01-31 11:35:00,266,758
2020-01-31 11:40:00,182,755
2020-01-31 11:45:00,314,752
2020-01-31 11:50:00,311,759
2020-01-31 11:55:00,269,751
2020-01-31 12:00:00,323,747
2020-01-31 12:05:00,318,745
2020-01-31 12:10:00,310,747
2020-01-31 12:15:00,336,748
2020-01-31 12:20:00,277,755
2020-01-31 12:25:00,275,747
2020-01-31 12:30:00,285,753
2020-01-31 12:35:00,340,745
2020-01-31 12:40:00,260,751
2020-01-31 12:45:00,348,752
2020-01-31 12:50:00,366,755
2020-01-31 12:55:00,283,751
2020-01-31 13:00:00,368,739
2020-01-31 13:05:00,343,731
2020-01-31 13:10:00,344,739
2020-01-31 13:15:00,130,754
2020-01-31 13:20:00,146,751
2020-01-31 13:25:00,305,734
2020-01-31 13:30:00,259,754
2020-01-31 13:35:00,305,737
