MST,Avg Wind Speed @ 50m [m/s]
2016-12-24 11:59:00,3.95
2016-12-24 12:00:00,3.96
2016-12-24 12:01:00,3.76
2016-12-24 12:02:00,3.88
2016-12-24 12:03:00,3.91
2016-12-24 12:04:00,3.39
2016-12-24 12:05:00,3.34
2016-12-24 12:06:00,3.02
2016-12-24 12:07:00,3.04
2016-12-24 12:08:00,3.33
2016-12-24 12:09:00,3.42
2016-12-24 12:10:00,3.27
2016-12-24 12:11:00,3.28
2016-12-24 12:12:00,3.4
2016-12-24 12:13:00,3.43
2016-12-24 12:14:00,3.32
2016-12-24 12:15:00,3.47
2016-12-24 12:16:00,3.31
2016-12-24 12:17:00,2.84
2016-12-24 12:18:00,2.76
2016-12-24 12:19:00,2.52
2016-12-24 12:20:00,2.75
2016-12-24 12:21:00,2.74
2016-12-24 12:22:00,3.01
2016-12-24 12:23:00,3.0
2016-12-24 12:24:00,2.63
2016-12-24 12:25:00,3.1
2016-12-24 12:26:00,2.68
2016-12-24 12:27:00,3.16
2016-12-24 12:28:00,2.99
2016-12-24 12:29:00,2.97
2016-12-24 12:30:00,3.2
2016-12-24 12:31:00,3.19
2016-12-24 12:32:00,2.5
2016-12-24 12:33:00,3.03
2016-12-24 12:34:00,2.78
2016-12-24 12:35:00,2.42
2016-12-24 12:36:00,2.73
2016-12-24 12:37:00,2.83
2016-12-24 12:38:00,3.08
2016-12-24 12:39:00,3.34
2016-12-24 12:40:00,2.27
2016-12-24 12:41:00,2.27
2016-12-24 12:42:00,2.79
2016-12-24 12:43:00,2.19
2016-12-24 12:44:00,2.25
2016-12-24 12:45:00,2.72
2016-12-24 12:46:00,2.72
2016-12-24 12:47:00,2.44
2016-12-24 12:48:00,2.28
2016-12-24 12:49:00,2.15
2016-12-24 12:50:00,2.01
2016-12-24 12:51:00,1.71
2016-12-24 12:52:00,1.38
2016-12-24 12:53:00,0.87
2016-12-24 12:54:00,1.27
2016-12-24 12:55:00,1.61
2016-12-24 12:56:00,1.76
2016-12-24 12:57:00,1.72
2016-12-24 12:58:00,3.46
2016-12-24 12:59:00,3.74
2016-12-24 13:00:00,3.52
2016-12-24 13:01:00,2.59
2016-12-24 13:02:00,2.0
2016-12-24 13:03:00,1.67
2016-12-24 13:04:00,1.92
2016-12-24 13:05:00,0.92
2016-12-24 13:06:00,1.39
2016-12-24 13:07:00,1.83
2016-12-24 13:08:00,1.54
2016-12-24 13:09:00,2.02
2016-12-24 13:10:00,1.59
2016-12-24 13:11:00,1.45
2016-12-24 13:12:00,1.42
2016-12-24 13:13:00,2.87
2016-12-24 13:14:00,3.25
2016-12-24 13:15:00,2.63
2016-12-24 13:16:00,2.82
2016-12-24 13:17:00,3.07
2016-12-24 13:18:00,3.36
2016-12-24 13:19:00,3.48
2016-12-24 13:20:00,3.57
2016-12-24 13:21:00,2.76
2016-12-24 13:22:00,2.45
2016-12-24 13:23:00,1.82
2016-12-24 13:24:00,2.07
2016-12-24 13:25:00,1.9
2016-12-24 13:26:00,2.02
2016-12-24 13:27:00,1.46
2016-12-24 13:28:00,1.84
2016-12-24 13:29:00,2.56
2016-12-24 13:30:00,3.59
2016-12-24 13:31:00,4.62
2016-12-24 13:32:00,3.93
2016-12-24 13:33:00,3.83
2016-12-24 13:34:00,3.24
2016-12-24 13:35:00,2.81
