Time (s),P (kW),Q (kW)
54436,268.4025834,115.8633927
54437,268.4254673,118.6658542
54438,268.3756549,114.8615775
54439,268.5093645,112.0703065
54440,269.5151265,112.1769836
54441,268.8309313,120.9808038
54442,268.5676182,117.6070073
54443,268.4553203,113.2904907
54444,268.3832063,115.298198
54445,268.6479243,116.2644508
54446,268.5932617,115.2138342
54447,268.6101275,112.8693047
54448,268.7928252,118.3889989
54449,269.2328797,120.7025457
54450,268.9119716,114.7014489
54451,269.1106037,113.3931256
54452,268.0588771,110.6338982
54453,268.1284143,120.0923159
54454,267.8587582,123.3485495
54455,268.0528267,117.6961585
54456,268.4405222,109.8357453
54457,273.9351109,114.7510736
54458,272.9095677,118.6272201
54459,272.6414036,116.484222
54460,273.2187903,118.5820461
54461,273.0585362,119.7817638
54462,273.0607448,117.645052
54463,273.2980778,117.4762349
54464,273.093818,121.5103481
54465,273.2620223,122.522238
54466,273.2279074,119.9861906
54467,273.4426616,116.7357463
54468,304.4238551,142.2018476
54469,305.1831965,141.6009104
54470,306.2019494,136.3877192
54471,306.9478594,139.2054876
54472,307.2494229,138.8061328
54473,308.8121762,140.7287209
54474,309.2064583,137.5665206
54475,323.383598,151.8629326
54476,326.6049593,148.9545648
54477,324.7879047,148.974687
54478,323.5764182,152.4354076
54479,323.0582251,147.8086185
54480,323.2838238,149.2113614
54481,323.1170754,149.2822134
54482,323.5689946,150.707078
54483,323.0690136,150.3437844
54484,322.9479189,145.7027499
54485,323.2533181,150.097238
54486,322.9844326,147.0714315
54487,323.6307202,150.4986363
54488,323.5827463,147.7902517
54489,323.8064251,150.0599063
54490,324.0647326,150.3909283
54491,324.0166499,153.2366991
54492,323.8954569,144.3988439
54493,324.330334,148.0975943
54494,324.0508903,146.2423908
54495,324.2197331,150.2936523
54496,324.4855695,151.2669476
54497,324.3136462,154.0915124
54498,324.5051761,148.3834749
54499,324.7517264,148.299478
54500,324.5591014,150.0171632
54501,324.3482764,152.5522777
54502,324.8182986,150.8489829
54503,324.4840738,152.2286253
54504,327.7186015,147.9570352
54505,327.3998811,147.9396206
54506,328.9172498,154.2883175
54507,328.6237873,145.141144
54508,328.3795829,149.8629757
54509,328.4618433,151.2073355
54510,329.0435893,148.2159572
54511,328.6728627,152.2017784
54512,329.8500396,159.284041
54513,329.795504,154.4840104
54514,329.88205,145.259172
54515,330.0795389,149.8718189
54516,329.9860436,150.7526498
54517,329.8228168,153.1879551
54518,329.7744751,148.5173462
54519,329.6750049,150.9172022
54520,332.1594655,156.561612
54521,332.6888959,157.2349276
54522,332.699484,151.3653478
54523,333.0348045,149.3455995
54524,333.1244102,157.2478718
54525,327.6828404,152.6937627
54526,327.6894822,147.7385454
54527,328.9374108,150.9415714
54528,328.4685396,150.0704579
54529,328.3520513,148.0752714
54530,327.8836493,149.8377377
54531,327.8969475,155.822954
54532,327.8721002,153.4447458
54533,328.0765257,151.0764936
54534,328.0163943,144.9401568
54535,327.7444102,150.1089528
54536,327.6842314,149.8656492
54537,327.8091035,148.8748277
54538,327.7289313,150.487361
54539,327.4054672,151.0508899
54540,327.6199418,151.4522391
54541,327.3026035,151.7203438
54542,327.3633785,152.563465
54543,327.7276936,149.1250928
54544,327.4543302,149.8712449
54545,327.4372432,143.900764
54546,328.1075421,154.9457925
54547,327.6825929,154.0830377
54548,329.0964797,151.3737444
54549,328.406366,149.9142448
54550,328.1364419,149.4544065
54551,327.8915299,152.3944695
54552,328.1184435,152.469087
54553,328.3171961,148.5366251
54554,327.9168078,150.3462472
54555,327.6304099,149.036823
54556,327.7832057,151.4052393
54557,327.5148456,152.7772183
54558,327.3680623,152.1799236
54559,327.2749597,148.5892359
54560,326.9850696,147.9223316
54561,329.7534908,153.2884151
54562,330.4077207,153.9184481
54563,330.1518085,155.5981251
54564,330.1893568,151.7041304
54565,331.0226106,150.0361421
54566,330.4406514,147.6379263
54567,330.3437321,154.7777079
54568,331.1004343,150.7260336
54569,330.7941818,156.1012002
54570,330.6696079,149.7519221
54571,330.8496053,153.6738665
54572,330.7880691,152.5064596
54573,331.7415589,143.8218874
54574,331.5127522,154.9684197
54575,331.3654932,158.3933242
54576,330.9873789,149.1423658
54577,331.0426694,153.4487707
54578,330.6605109,150.4159521
54579,330.9557438,150.9491412
54580,331.4616954,151.2767045
54581,331.192947,149.8935704
54582,330.9607545,154.6610068
54583,331.3472824,151.2557021
54584,331.039602,156.1835527
54585,330.1470794,155.8868438
54586,330.1025097,151.7887433
54587,329.7633936,150.5084679
54588,292.6559614,129.2926075
54589,293.1383158,129.1025553
54590,292.7994954,125.0689931
54591,293.0851403,135.4130685
